PCTCODE,Deval Patrick,Tom Steyer,Pete Buttigieg,Amy Klobuchar,Julian Castro,John K. Delaney,Marianne Williamson,Bernie Sanders,Andrew Yang,Elizabeth Warren,Tulsi Gabbard,Michael R. Bloomberg,Joseph Biden,Uncommitted,Cory Booker,Michael Bennet,Total
1845,0,1,9,9,0,1,1,876,5,267,5,26,95,3,0,0,1298
1850,0,0,6,12,0,2,0,667,2,260,2,19,125,0,1,0,1096
1855,0,0,13,19,0,0,0,495,3,253,3,38,165,1,0,0,990
1860,0,0,9,36,0,0,0,283,2,313,0,56,319,1,0,0,1019
1865,3,1,12,75,0,0,2,284,2,299,0,63,482,9,0,2,1234
1870,0,1,16,11,0,0,0,389,0,229,2,45,241,1,0,1,936
1875,0,0,6,25,1,0,1,467,3,496,2,67,486,4,0,0,1558
1880,0,0,6,26,0,0,0,196,0,214,1,54,352,1,0,0,850
1885,0,0,12,33,0,0,1,298,2,392,1,63,489,0,0,0,1291
1890,0,0,15,31,0,0,0,292,1,309,0,62,429,3,0,0,1142
1895,0,0,6,20,0,0,0,318,3,267,3,40,315,1,0,0,973
1900,0,0,4,12,0,0,0,201,0,106,1,22,125,1,0,0,472
1902,0,0,10,18,0,0,0,218,1,216,3,52,304,4,0,0,826
1905,0,1,5,28,0,0,0,532,1,495,0,40,338,3,0,1,1444
1910,0,0,5,36,0,0,0,426,1,413,3,35,388,0,0,1,1308
1915,1,0,5,54,0,0,1,547,1,467,3,70,449,3,0,1,1602
1920,0,0,7,14,0,1,0,261,2,254,6,41,227,1,0,0,814
1925,0,0,11,31,0,0,0,264,0,351,2,44,290,3,0,0,996
1930,0,0,6,27,0,0,0,224,0,220,1,44,267,2,0,0,791
1935,0,0,0,10,0,0,0,5,0,3,1,10,15,0,1,1,46
1940,0,0,3,7,0,0,0,316,2,210,0,13,137,0,1,0,689
1945,0,0,8,19,0,0,0,372,2,303,3,24,197,1,0,1,930
1950,0,1,1,20,0,0,0,357,2,201,1,33,248,1,0,0,865
1955,0,1,5,21,0,0,0,282,1,226,3,36,220,0,1,0,796
1956,0,2,12,55,1,0,0,586,2,487,0,67,296,2,1,4,1515
1957,0,0,5,16,0,0,0,174,0,191,1,32,206,2,0,0,627
1960,0,0,12,44,0,0,0,328,2,205,1,68,371,0,0,0,1031
1965,0,0,8,28,0,0,0,147,2,196,3,50,301,0,0,0,735
1970,0,0,14,38,0,0,2,210,0,219,0,80,400,2,0,0,965
1975,0,0,8,37,0,0,1,254,2,265,3,56,328,0,1,0,955
1980,0,0,10,37,1,0,0,168,1,221,1,67,399,0,0,0,905
1985,0,0,3,63,0,0,0,217,1,291,3,91,520,0,1,0,1190
1990,0,0,12,64,0,1,1,335,0,389,3,94,673,3,1,0,1576
1995,0,0,7,25,0,0,0,188,0,296,4,62,427,3,1,0,1013
2000,0,0,11,48,0,0,0,371,1,341,4,75,442,1,0,0,1294
2005,0,0,6,15,0,0,0,146,2,185,1,53,288,1,0,0,697
2010,0,1,9,31,0,0,0,183,0,218,1,53,427,0,0,0,923
2015,0,0,7,17,0,0,0,128,0,177,1,46,294,1,0,0,671
2020,0,0,6,63,0,0,0,164,0,252,2,58,439,2,0,0,986
